id,recomendaciones
15390,"['Free Bowling 3D', 'Zombie Bowl-o-Rama', 'Rock of Ages', 'Galactic Fighter', 'PewDiePie: Legend of the Brofist']"
21300,"['Postal III', 'POSTAL 2', 'Grand Theft Auto III', 'Grand Theft Auto V', 'Fallout 4']"
3050,"['Far Cry®', 'Far Cry® 4', 'Far Cry 3', 'Far Cry® Primal', 'Far Cry® 4 Season Pass']"
15380,"['Alpha Prime', 'Star Merchant', 'Disputed Space', 'Pixel Space', 'A.I. Space Corps']"
19800,"['ATSF Wagon Pack 01', 'BN Wagon Pack 01', 'TS Marketplace: Zacns Wagon Pack 01 Add-On', 'TANE DLC: PRR GP9 (2 Pack)', 'TS Marketplace: COV AB Vans Wagon Pack 01']"
15370,"['Class 365 Network South East Add-on Livery', 'Network South East Class 319 Add-on Livery', ""Train Simulator: BR Class 421 '4CIG' Loco"", 'Rocksmith® 2014 – Cake Song Pack', 'Take the Cake']"
19930,"['PRR Wagon Pack 01', 'BN Wagon Pack 01', 'TS Marketplace: Zacns Wagon Pack 01 Add-On', 'TS Marketplace: COV AB Vans Wagon Pack 01', 'TANE DLC: ATSF GP38-2 Santa FE (2 Pack)']"
15350,"['GP20 Burlington Northern Add-on Livery', 'Train Simulator: Union Pacific DD35 Add-On', 'Train Simulator: Union Pacific Challenger Loco Add-On', 'Train Simulator: Union Pacific Big Boy Loco Add-On', 'Train Simulator: Union Pacific Heritage SD70ACes Loco Add-On']"
19810,"['UK Coal Wagon Pack', 'UK Mineral Wagon Pack', 'Van Helsing II: Magic Pack', 'Euro Truck Simulator 2 - UK Paint Jobs Pack', 'Eaos Wagon Pack']"
3540,"['CSX ES44AC Add-on Livery', 'Train Simulator: CSX C30-7 Loco Add-On', 'Train Simulator: CSX SD80MAC Loco Add-On', 'Train Sim World®: CSX GP40-2 Loco Add-On', 'D&RGW F7 Add-On Livery']"
